,TUR,USE,INDON,SAU,BRZ,IND,SPA,AUS,MEX,RUS,CAN,UK,Italy,NET,France,KOR,JAP,GER,USA,CHN
TUR,1.000,0.590,0.054,0.489,0.765,0.798,-0.180,0.674,0.051,0.629,-0.915,-0.876,-0.814,-0.345,-0.837,0.599,-0.754,-0.301,-0.768,0.894
USE,0.590,1.000,0.264,0.855,0.527,0.627,-0.495,0.477,-0.507,0.802,-0.517,-0.449,-0.384,-0.259,-0.432,0.608,-0.300,-0.451,-0.797,0.543
INDON,0.054,0.264,1.000,0.632,0.620,0.547,-0.619,0.661,0.050,0.271,-0.301,-0.384,-0.394,-0.361,-0.377,-0.001,-0.123,-0.632,-0.482,0.319
SAU,0.489,0.855,0.632,1.000,0.720,0.759,-0.723,0.724,-0.283,0.809,-0.535,-0.551,-0.517,-0.305,-0.544,0.463,-0.395,-0.701,-0.818,0.581
BRZ,0.765,0.527,0.620,0.720,1.000,0.981,-0.626,0.980,0.131,0.708,-0.907,-0.928,-0.901,-0.569,-0.900,0.569,-0.741,-0.722,-0.874,0.926
IND,0.798,0.627,0.547,0.759,0.981,1.000,-0.646,0.966,0.074,0.781,-0.929,-0.933,-0.904,-0.582,-0.912,0.672,-0.766,-0.734,-0.910,0.955
SPA,-0.180,-0.495,-0.619,-0.723,-0.626,-0.646,1.000,-0.716,0.026,-0.756,0.365,0.437,0.479,0.621,0.486,-0.584,0.384,0.957,0.556,-0.487
AUS,0.674,0.477,0.661,0.724,0.980,0.966,-0.716,1.000,0.209,0.707,-0.847,-0.905,-0.903,-0.613,-0.901,0.553,-0.742,-0.809,-0.811,0.890
MEX,0.051,-0.507,0.050,-0.283,0.131,0.074,0.026,0.209,1.000,-0.222,-0.122,-0.260,-0.374,-0.183,-0.355,-0.184,-0.521,-0.209,0.325,0.130
RUS,0.629,0.802,0.271,0.809,0.708,0.781,-0.756,0.707,-0.222,1.000,-0.650,-0.635,-0.612,-0.369,-0.632,0.806,-0.584,-0.732,-0.792,0.718
CAN,-0.915,-0.517,-0.301,-0.535,-0.907,-0.929,0.365,-0.847,-0.122,-0.650,1.000,0.953,0.908,0.517,0.910,-0.675,0.804,0.489,0.850,-0.984
UK,-0.876,-0.449,-0.384,-0.551,-0.928,-0.933,0.437,-0.905,-0.260,-0.635,0.953,1.000,0.980,0.523,0.983,-0.569,0.804,0.568,0.779,-0.966
Italy,-0.814,-0.384,-0.394,-0.517,-0.901,-0.904,0.479,-0.903,-0.374,-0.612,0.908,0.980,1.000,0.570,0.995,-0.557,0.821,0.622,0.694,-0.931
NET,-0.345,-0.259,-0.361,-0.305,-0.569,-0.582,0.621,-0.613,-0.183,-0.369,0.517,0.523,0.570,1.000,0.582,-0.584,0.453,0.677,0.459,-0.599
France,-0.837,-0.432,-0.377,-0.544,-0.900,-0.912,0.486,-0.901,-0.355,-0.632,0.910,0.983,0.995,0.582,1.000,-0.571,0.833,0.631,0.712,-0.940
KOR,0.599,0.608,-0.001,0.463,0.569,0.672,-0.584,0.553,-0.184,0.806,-0.675,-0.569,-0.557,-0.584,-0.571,1.000,-0.588,-0.582,-0.689,0.730
JAP,-0.754,-0.300,-0.123,-0.395,-0.741,-0.766,0.384,-0.742,-0.521,-0.584,0.804,0.804,0.821,0.453,0.833,-0.588,1.000,0.587,0.531,-0.823
GER,-0.301,-0.451,-0.632,-0.701,-0.722,-0.734,0.957,-0.809,-0.209,-0.732,0.489,0.568,0.622,0.677,0.631,-0.582,0.587,1.000,0.562,-0.597
USA,-0.768,-0.797,-0.482,-0.818,-0.874,-0.910,0.556,-0.811,0.325,-0.792,0.850,0.779,0.694,0.459,0.712,-0.689,0.531,0.562,1.000,-0.857
CHN,0.894,0.543,0.319,0.581,0.926,0.955,-0.487,0.890,0.130,0.718,-0.984,-0.966,-0.931,-0.599,-0.940,0.730,-0.823,-0.597,-0.857,1.000
