year,Turkey,United Arab Emirates,Indonesia,Saudi Arabia,Brazil,India,Spain,Australia,Mexico,Russian Federation,Canada,United Kingdom,Italy,Netherlands,France,Rep. of Korea,Japan,Germany,USA,China
2001,0.013867105,0.012718344,0.022424501,0.017111551,0.018795477,0.016567849,0.029684027,0.024205634,0.036984822,0.02440836,0.05936909,0.061183669,0.053150992,0.04673925,0.064511671,0.044008472,0.095731215,0.106248325,0.179020248,0.073269398
2002,0.014728255,0.014427,0.022264482,0.016568064,0.019500299,0.017676468,0.031661041,0.023892097,0.034482721,0.025196895,0.05292117,0.059577111,0.054617813,0.047296063,0.06672677,0.04473654,0.095045597,0.111116308,0.164585119,0.082980186
2003,0.015349469,0.01510739,0.021768797,0.017626268,0.020235194,0.018174188,0.032845689,0.023317745,0.031959167,0.026728396,0.049327137,0.056862615,0.054292436,0.048559279,0.066579478,0.047017692,0.094988025,0.115054879,0.151420536,0.092785617
2004,0.015845289,0.016254485,0.021455299,0.018583073,0.020727703,0.019589062,0.031722558,0.024689019,0.029935399,0.028988812,0.047661763,0.053707759,0.052309386,0.047754573,0.063750191,0.051362723,0.096112651,0.113521176,0.1429708,0.103058278
2005,0.015847234,0.018699187,0.021953863,0.021185547,0.021652956,0.021303042,0.029850234,0.026615736,0.029630266,0.032855917,0.047115028,0.051589684,0.049475335,0.04596661,0.059288042,0.054440636,0.092899746,0.107955615,0.139054787,0.112620536
2006,0.015776829,0.019531792,0.022094198,0.023097127,0.021561889,0.021966861,0.028920449,0.027256522,0.030732668,0.034721285,0.045753138,0.049892879,0.047882025,0.045169686,0.05762748,0.054536702,0.089915939,0.105988583,0.138493309,0.11908064
2007,0.016268605,0.019325618,0.022178593,0.021943725,0.02211262,0.02258758,0.029440108,0.027432875,0.030765611,0.033619693,0.044972714,0.046370569,0.048559084,0.045910074,0.056319379,0.053781322,0.088723,0.10648489,0.135068227,0.128135715
2008,0.016826942,0.019921846,0.022272352,0.024914206,0.024167474,0.023698262,0.028148515,0.030472625,0.030330231,0.039440094,0.045199702,0.044449015,0.046200673,0.046029732,0.054258616,0.051768468,0.085980382,0.10345794,0.132463161,0.129999765
2009,0.015920671,0.015274966,0.022835469,0.020831306,0.024730637,0.024566459,0.028406555,0.032188171,0.031995898,0.035373507,0.042629258,0.04348481,0.04539953,0.046613363,0.054890896,0.05330499,0.081582744,0.104566986,0.134971876,0.140431909
2010,0.015667373,0.016617857,0.024540467,0.021785795,0.025918424,0.026422934,0.026836555,0.034840321,0.033139911,0.035352589,0.041857437,0.040373509,0.0420844,0.044140337,0.050418199,0.055692652,0.085046482,0.09842171,0.131857124,0.148985925
2011,0.016354276,0.019195223,0.026269535,0.02892876,0.028090061,0.028695089,0.027681786,0.037129394,0.031956955,0.032496188,0.040527211,0.040803034,0.043829954,0.044203069,0.051525206,0.049667201,0.080800259,0.099868034,0.119878108,0.152100657
2012,0.01671139,0.018882959,0.02416432,0.02587737,0.026048705,0.026324435,0.026980732,0.03428736,0.034416998,0.040163648,0.041500952,0.04047217,0.041745742,0.045308152,0.049565837,0.054932305,0.075545072,0.097956495,0.131879868,0.147235491
2013,0.016858096,0.019681427,0.023167635,0.025494724,0.025563017,0.026886049,0.028165246,0.032798288,0.034428695,0.039797942,0.040929816,0.041075134,0.042873954,0.046831738,0.050392986,0.0551749,0.068636172,0.100112873,0.131512712,0.149618598
2014,0.016874467,0.018473843,0.021828606,0.024238748,0.024719863,0.02605792,0.028706388,0.032779134,0.034493987,0.038846966,0.040791022,0.041018706,0.043250811,0.046319741,0.050613008,0.056050073,0.065448132,0.10171861,0.132614519,0.155155454
2015,0.017010439,0.015571996,0.021349377,0.017600417,0.024570887,0.024683626,0.028987318,0.031185022,0.036239133,0.032517841,0.039561633,0.04115947,0.042718424,0.042543862,0.050133533,0.059138758,0.066825089,0.102000115,0.139381488,0.16682157
2016,0.01802575,0.015936777,0.022339366,0.019367419,0.025802982,0.026035099,0.032415713,0.032823976,0.036758673,0.029112535,0.037278081,0.033472201,0.037717934,0.046218817,0.044090174,0.048801212,0.072674122,0.111014244,0.136730434,0.173384491
